OBJECTID,Codigo_Municipio,Nome_municipio,Pop_Total,Total_Respiradores,Respiradores_100mil_hab_Ind,Respiradores_SUS_100mil_hab_Ind,Total_SUS_Respiradores,Shape__Area,Shape__Length,P_Respiradores_SUS
1,5200050,Abadia de Goiás,8773,0,0,0,0,0.0124816475622538,0.591110230038338,0
2,3100104,Abadia dos Dourados,6989,0,0,0,0,0.0753144965986507,1.95912445673287,0
3,5200100,Abadiânia,20042,0,0,0,0,0.0883201093906223,1.81134961906781,0
4,3100203,Abaeté,23237,2,8.60696303309377,8.60696303309377,2,0.155999091973342,2.43461286121149,100
5,1500107,Abaetetuba,157698,10,6.34123451153471,5.70711106038124,9,0.130888576843759,1.82953870027611,90
6,2300101,Abaiara,11737,0,0,0,0,0.0147481592989038,0.534500781257564,0
7,2900108,Abaíra,8739,0,0,0,0,0.0449363554398587,1.43922362369565,0
8,2900207,Abaré,20086,0,0,0,0,0.131907828830037,1.70817257987122,0
9,4100103,Abatiá,7457,0,0,0,0,0.0201897952706531,1.07449792829056,0
10,4200051,Abdon Batista,2563,0,0,0,0,0.0215542110956903,0.916697439607404,0
11,1500131,Abel Figueiredo,7434,1,13.4517083669626,13.4517083669626,1,0.0500731897972742,1.30356045561117,100
12,4200101,Abelardo Luz,17904,1,5.58534405719392,5.58534405719392,1,0.0863326919833298,1.75238350748399,100
13,3100302,Abre Campo,13454,3,22.2982012784302,0,0,0.0406871042849843,1.22928152572525,0
14,2600054,Abreu e Lima,99990,21,21.002100210021,11.001100110011,11,0.0103472048666333,0.812613520345185,52.3809523809524
15,1700251,Abreulândia,2579,0,0,0,0,0.156044573582506,3.4937976948294,0
16,3100401,Acaiaca,3994,0,0,0,0,0.00881681392661449,0.516546528525998,0
17,2100055,Açailândia,112445,4,3.55729467739784,2.66797100804838,3,0.473329341360753,4.47424613253423,75
18,2900306,Acajutiba,15159,0,0,0,0,0.0150456642862196,0.706970804070788,0
19,1500206,Acará,55591,9,16.1896709899084,16.1896709899084,9,0.353115006928149,3.95607093327893,100
20,2300150,Acarape,14929,0,0,0,0,0.0126393751954907,0.558007214324748,0
21,2300200,Acaraú,62641,1,1.59639852492776,1.59639852492776,1,0.0685395968641416,2.06700666026052,100
