DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,QT_VOTOS_NOMINAIS,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS,QT_VOTOS_LEGENDA,QT_VOTOS_ANULADOS_APU_SEP,NR_LOCAL_VOTACAO
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,127,669,13,VEREADOR,400,300,100,256,8,10,26,0,2607
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,134,13,VEREADOR,389,258,131,203,20,20,15,0,1341
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,436,13,VEREADOR,418,334,84,267,24,26,17,0,1546
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,89,11,PREFEITO,382,283,99,236,20,27,0,0,1180
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,229,11,PREFEITO,460,352,108,308,25,19,0,0,1333
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,242,11,PREFEITO,406,315,91,278,19,18,0,0,1376
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,319,13,VEREADOR,409,301,108,233,24,9,35,0,1430
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,394,13,VEREADOR,378,282,96,224,25,11,22,0,1198
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,150,13,VEREADOR,420,286,134,225,21,16,24,0,1317
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,231,13,VEREADOR,387,279,108,235,12,10,22,0,1287
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,402,11,PREFEITO,399,298,101,260,17,21,0,0,1147
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,64,13,VEREADOR,388,275,113,232,15,10,18,0,1180
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,127,725,11,PREFEITO,397,326,71,310,4,12,0,0,2593
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,280,13,VEREADOR,399,296,103,235,20,20,21,0,1511
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,282,13,11,PREFEITO,410,302,108,267,15,20,0,0,1015
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,211,11,PREFEITO,334,257,77,236,12,9,0,0,1090
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,106,11,PREFEITO,389,260,129,233,11,16,0,0,1201
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,391,11,PREFEITO,398,287,111,237,22,28,0,0,1333
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,127,635,13,VEREADOR,396,285,111,234,10,16,25,0,2526
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,290,13,VEREADOR,380,272,108,208,29,22,13,0,1325
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,282,197,13,VEREADOR,376,268,108,224,17,15,12,0,1163
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,127,154,13,VEREADOR,335,233,102,197,10,10,16,0,1090
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,412,180,13,VEREADOR,406,318,88,259,18,23,18,0,1333
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,75,13,VEREADOR,387,239,148,190,21,17,11,0,1171
30/11/2020,17:27:45,2020,2,ELEIÇÃO ORDINÁRIA,1,426,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,M,SP,70998,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO,411,341,13,VEREADOR,337,248,89,214,10,15,9,0,1155
